births_2017_18, natural_increase_2020_21, births_2020_21, births_2016_17, net_internal_migration_2019_20, deaths_2018_19, sa2_name_2016, internal_departures_2018_19, gccsa_name_2016, natural_increase_2018_19, overseas_departures_2018_19, natural_increase_2017_18, overseas_departures_2017_18, internal_arrivals_2017_18, overseas_departures_2020_21, deaths_2017_18, internal_arrivals_2016_17, state_name_2016, net_overseas_migration_2019_20, internal_departures_2016_17, deaths_2016_17, erp_2017, erp_2018, erp_2019, net_internal_migration_2017_18, erp_2021, erp_2020, erp_change_per_cent_2020_21, net_overseas_migration_2016_17, overseas_arrivals_2020_21, sa3_name_2016, net_internal_migration_2018_19, overseas_arrivals_2016_17, net_overseas_migration_2018_19, overseas_arrivals_2017_18, area_km2, state_code_2016, net_internal_migration_2020_21, overseas_arrivals_2019_20, erp_2008, erp_2009, erp_2006, erp_2007, net_internal_migration_2016_17, erp_2012, births_2019_20, erp_2011, erp_2010, internal_departures_2019_20, erp_2016, deaths_2020_21, erp_2015, erp_2014, erp_2013, erp_change_number_2020_21, internal_departures_2020_21, internal_arrivals_2019_20, sa4_name_2016, overseas_arrivals_2018_19, overseas_departures_2019_20, internal_departures_2017_18, deaths_2019_20, natural_increase_2016_17, pop_density_2021_people_per_km2, net_overseas_migration_2020_21, sa2_maincode_2016, sa4_code_2016, primaryindex, overseas_departures_2016_17, erp_2001, erp_2003, erp_2002, erp_2005, erp_2004, internal_arrivals_2020_21, internal_arrivals_2018_19, gccsa_code_2016, net_overseas_migration_2017_18, natural_increase_2019_20, births_2018_19, sa3_code_2016
32,11,37,43,57,30,"Braidwood",331,"Rest of NSW",9,8,1,8,386,6,31,276,"New South Wales",8,215,24,4041,4145,4222,93,4360,4292,1.58430004119873,11,7,"Queanbeyan",58,18,10,18,3418.3525390625,1,56,17,3181,3308,2965,3102,61,3590,35,3458,3429,337,3950,26,3849,3762,3685,68,319,394,"Capital Region",18,9,293,30,19,1.27550005912781,1,"101021007",101,1,7,2760,2835,2811,2847,2844,375,389,"1RNSW",10,5,39,10102
100,73,114,119,-103,37,"Karabar",1051,"Rest of NSW",88,35,42,31,908,23,58,708,"New South Wales",26,896,25,8484,8424,8370,-143,8374,8371,0.0357999987900257,47,28,"Queanbeyan",-179,75,37,72,6.98250007629395,1,-75,65,8994,9030,9212,9033,-188,9012,123,9092,9101,951,8531,41,8603,8731,8848,3,946,848,"Capital Region",72,39,1051,45,94,1199.28393554688,5,"101021008",101,2,28,9129,9263,9199,9209,9277,871,872,"1RNSW",41,78,125,10102
191,45,149,174,-148,103,"Queanbeyan",1702,"Rest of NSW",79,122,92,110,1557,82,99,1217,"New South Wales",93,1315,119,11351,11441,11449,-146,11401,11449,-0.419299989938736,164,165,"Queanbeyan",-208,264,137,254,4.76340007781982,1,-176,230,10074,10288,9682,9793,-98,10870,177,10715,10584,1564,11230,104,11213,11199,11050,-48,1662,1416,"Capital Region",259,137,1703,122,55,2393.45849609375,83,"101021009",101,3,100,9717,9522,9513,9595,9400,1486,1494,"1RNSW",144,55,182,10102
22,-22,19,24,-13,20,"Bombala",144,"Rest of NSW",3,2,-11,2,176,1,33,122,"New South Wales",2,118,36,2414,2412,2423,7,2411,2421,-0.413100004196167,2,2,"Snowy Mountains",6,4,2,4,3989.36181640625,1,11,4,2534,2516,2589,2567,4,2462,26,2484,2503,130,2420,41,2428,2437,2451,-10,152,117,"Capital Region",4,2,169,17,-12,0.604399979114532,1,"101031013",101,7,2,2622,2590,2617,2577,2576,163,150,"1RNSW",2,9,23,10103
82,16,83,65,-41,61,"Bega-Eden Hinterland",667,"Rest of NSW",19,10,30,10,758,7,52,562,"New South Wales",8,620,45,8928,8914,8893,-56,8996,8879,1.31770002841949,14,9,"South Coast",-52,23,12,22,4710.20703125,1,99,20,8883,8993,8798,8826,-58,9039,82,9073,9090,686,8952,67,8971,8996,9014,117,639,645,"Capital Region",22,12,814,63,20,1.90989995002747,2,"101041020",101,14,9,8429,8549,8504,8741,8658,738,615,"1RNSW",12,19,80,10104
0,0,0,0,0,0,"Deua - Wadbilliga",0,"Rest of NSW",0,0,0,0,0,0,0,0,"New South Wales",0,0,0,25,25,25,0,25,25,0.0,0,0,"South Coast",0,0,0,0,2781.99877929688,1,0,0,45,51,34,40,0,55,0,61,56,0,25,0,32,40,46,0,0,0,"Capital Region",0,0,0,0,0,0.00899999961256981,0,"101041022",101,16,0,38,37,38,35,37,0,0,"1RNSW",0,0,0,10104
95,62,74,78,-158,23,"Queanbeyan - East",820,"Rest of NSW",61,60,77,55,768,41,18,681,"New South Wales",45,762,22,5016,5077,5148,-87,5126,5082,0.865800023078918,71,47,"Queanbeyan",-57,120,67,126,13.003399848938,1,-24,113,4595,4712,4319,4459,-81,4971,72,4951,4813,852,4970,12,4961,4967,4983,44,796,694,"Capital Region",127,68,855,25,56,394.20458984375,6,"101021010",101,4,49,3925,4219,4073,4187,4218,772,763,"1RNSW",71,47,84,10102
258,290,349,215,971,63,"Queanbeyan Region",1694,"Rest of NSW",221,58,209,53,2186,39,49,1905,"New South Wales",43,1226,62,18201,19151,20238,673,22697,21494,5.59689998626709,78,66,"Queanbeyan",802,125,64,121,3054.40991210938,1,886,109,13631,14028,12582,13092,679,14991,286,14612,14337,1503,17291,59,16618,15960,15409,1203,1678,2474,"Capital Region",122,66,1513,44,153,7.43090009689331,27,"101021011",101,5,47,10268,11185,10761,12035,11532,2564,2496,"1RNSW",68,242,284,10102
154,141,170,150,-239,25,"Queanbeyan West - Jerrabomberra",1682,"Rest of NSW",134,68,120,62,1496,47,34,1405,"New South Wales",53,1620,33,13145,13136,13135,-211,13115,13079,0.275299996137619,93,54,"Queanbeyan",-214,149,79,144,13.6788997650146,1,-112,130,12798,12988,12358,12622,-215,13204,151,13223,13146,1586,13150,29,13164,13193,13210,36,1605,1347,"Capital Region",147,77,1707,21,117,958.77587890625,7,"101021012",101,6,56,9425,11085,10257,12046,11549,1493,1468,"1RNSW",82,130,159,10102
80,2,70,82,-77,86,"Cooma",686,"Rest of NSW",5,27,1,25,625,19,79,520,"New South Wales",21,564,87,6857,6865,6853,-26,6743,6807,-0.940199971199036,36,22,"Snowy Mountains",-48,59,31,58,103.637100219727,1,-69,52,6936,6932,7022,6964,-44,6931,81,6935,6934,628,6870,68,6887,6914,6924,-64,679,551,"Capital Region",58,31,651,71,-5,65.0635986328125,3,"101031014",101,8,23,6915,6981,6945,7013,7008,610,638,"1RNSW",33,10,91,10103
