,births_2020_21,deaths_2020_21,state_name_2016,,,
,37,26,New South Wales,,,
,114,41,New South Wales,,,
,149,104,New South Wales,,,
,19,41,New South Wales,,,
,83,67,New South Wales,,,
,0,0,New South Wales,,,
,74,12,New South Wales,,,
,349,59,New South Wales,,,
,170,29,New South Wales,,,
,70,68,New South Wales,,,
,28,19,New South Wales,,,
,64,18,New South Wales,,,
,67,96,New South Wales,,,
,78,121,New South Wales,,,
,81,85,New South Wales,,,
,32,43,New South Wales,,,
,27,44,New South Wales,,,
,28,29,New South Wales,,,
,70,144,New South Wales,,,
,77,81,New South Wales,,,
,72,136,New South Wales,,,
,80,63,New South Wales,,,
,225,190,New South Wales,,,
,36,18,New South Wales,,,
,88,105,New South Wales,,,
,302,238,New South Wales,,,
,127,92,New South Wales,,,
,67,17,New South Wales,,,
,76,78,New South Wales,,,
,133,35,New South Wales,,,
,132,115,New South Wales,,,
,58,27,New South Wales,,,
,88,73,New South Wales,,,
,48,31,New South Wales,,,
,118,319,New South Wales,,,
,267,165,New South Wales,,,
,67,55,New South Wales,,,
,67,77,New South Wales,,,
,87,22,New South Wales,,,
,90,77,New South Wales,,,
,113,92,New South Wales,,,
,92,68,New South Wales,,,
,139,159,New South Wales,,,
,196,40,New South Wales,,,
,58,70,New South Wales,,,
,281,271,New South Wales,,,
,22,4,New South Wales,,,
,107,89,New South Wales,,,
,92,55,New South Wales,,,
,66,36,New South Wales,,,
,88,63,New South Wales,,,
,122,121,New South Wales,,,
,50,43,New South Wales,,,
,112,99,New South Wales,,,
,27,31,New South Wales,,,
,138,69,New South Wales,,,
,270,279,New South Wales,,,
,32,38,New South Wales,,,
,84,43,New South Wales,,,
,169,192,New South Wales,,,
,103,81,New South Wales,,,
,0,0,New South Wales,,,
,299,310,New South Wales,,,
,99,71,New South Wales,,,
,290,238,New South Wales,,,
,290,202,New South Wales,,,
,153,48,New South Wales,,,
,172,52,New South Wales,,,
,130,86,New South Wales,,,
,50,53,New South Wales,,,
,204,138,New South Wales,,,
,187,121,New South Wales,,,
,54,26,New South Wales,,,
,73,33,New South Wales,,,
,182,126,New South Wales,,,
,110,171,New South Wales,,,
,56,18,New South Wales,,,
,290,196,New South Wales,,,
,101,202,New South Wales,,,
,40,27,New South Wales,,,
,33,24,New South Wales,,,
,91,36,New South Wales,,,
,198,179,New South Wales,,,
,93,66,New South Wales,,,
,39,58,New South Wales,,,
,149,134,New South Wales,,,
,62,34,New South Wales,,,
,71,49,New South Wales,,,
,288,209,New South Wales,,,
,68,43,New South Wales,,,
,160,73,New South Wales,,,
,58,23,New South Wales,,,
,42,37,New South Wales,,,
,167,110,New South Wales,,,
,35,27,New South Wales,,,
,62,47,New South Wales,,,
,140,138,New South Wales,,,
,81,57,New South Wales,,,
,205,130,New South Wales,,,
,369,104,New South Wales,,,
,132,79,New South Wales,,,
,77,47,New South Wales,,,
,81,71,New South Wales,,,
,0,0,New South Wales,,,
,250,249,New South Wales,,,
,145,121,New South Wales,,,
,145,239,New South Wales,,,
,146,76,New South Wales,,,
,161,108,New South Wales,,,
,31,55,New South Wales,,,
,101,118,New South Wales,,,
,336,164,New South Wales,,,
,322,134,New South Wales,,,
,186,73,New South Wales,,,
,62,22,New South Wales,,,
,288,281,New South Wales,,,
,78,26,New South Wales,,,
,90,80,New South Wales,,,
,40,14,New South Wales,,,
,237,117,New South Wales,,,
,64,18,New South Wales,,,
,24,97,New South Wales,,,
,138,69,New South Wales,,,
,161,69,New South Wales,,,
,167,90,New South Wales,,,
,346,172,New South Wales,,,
,104,49,New South Wales,,,
,400,179,New South Wales,,,
,36,35,New South Wales,,,
,60,63,New South Wales,,,
,214,32,New South Wales,,,
,51,35,New South Wales,,,
,73,73,New South Wales,,,
,130,276,New South Wales,,,
,199,109,New South Wales,,,
,196,161,New South Wales,,,
,242,286,New South Wales,,,
,121,90,New South Wales,,,
,75,77,New South Wales,,,
,219,109,New South Wales,,,
,213,107,New South Wales,,,
,265,191,New South Wales,,,
,132,109,New South Wales,,,
,45,52,New South Wales,,,
,0,0,New South Wales,,,
,311,101,New South Wales,,,
,127,105,New South Wales,,,
,99,78,New South Wales,,,
,97,85,New South Wales,,,
,76,68,New South Wales,,,
,102,151,New South Wales,,,
,110,83,New South Wales,,,
,68,31,New South Wales,,,
,74,77,New South Wales,,,
,214,102,New South Wales,,,
,71,61,New South Wales,,,
,239,178,New South Wales,,,
,255,150,New South Wales,,,
,245,165,New South Wales,,,
,121,49,New South Wales,,,
,125,66,New South Wales,,,
,83,99,New South Wales,,,
,197,145,New South Wales,,,
,80,60,New South Wales,,,
,46,83,New South Wales,,,
,5,0,New South Wales,,,
,220,211,New South Wales,,,
,129,216,New South Wales,,,
,248,258,New South Wales,,,
,226,291,New South Wales,,,
,140,124,New South Wales,,,
,185,96,New South Wales,,,
